"country","womenRep","egalDem","eduEqual"
"China",3.608,0.013,0.016
"Japan",1.045,0.021,0.001
"United States of America",6.704,0.1,0.009
"France",19.281,0.026,0.005
"Germany",3.447,0.018,0.017
"United Kingdom",12.456,0.019,0.009
"Brazil",6.335,0.138,0.024
"Chile",8.414,0.048,0.004
"Mexico",23.5,0.033,0.019
"Kenya",11.955,0.022,0.006
"Nigeria",2.058,0.056,0.097
"South Africa",9.527,0.02,0.009
"Oman",2.326,0.007,0.019
"Saudi Arabia",19.868,0.002,0.02
"United Arab Emirates",25.625,0.009,0.041
"Czechia",5.375,0.043,0.002
"Lithuania",3.456,0.043,0.021
"Netherlands",3.167,0.02,0.026
"Rwanda",5,0.01,0.019
